ID,label,key_Region Id,key_MarketPlace Id,key_ASIN,key_Binding Code,key_binding_description,key_brand_code,key_case_pack_quantity,key_classification_code,key_classification_description,key_color_map,key_country_of_origin,key_cpsia_cautionary_statement,key_creation_date,key_currency_code,key_customer_return_method,key_customer_return_policy,key_delivery_option,key_discontinued_date,key_ean,key_esrb_age_rating,key_esrb_descriptors,key_excluded_direct_browse_node_id,key_fedas_id,key_fma_qualified_price_max,key_fma_override,key_Product Group Code,key_Product Group Description,key_has_ean,key_has_online_play,key_has_platform,key_has_recommended_browse_nodes,key_has_upc,key_inner_package_type,key_is_adult_product,key_is_advantage,key_is_certified_organic,key_is_conveyable,key_is_discontinued,key_is_manufacture_on_demand,key_is_phone_upgradeable,key_Is Sortable,key_is_super_saver_shipping_excl,key_isbn,key_item_classification_id,key_item_display_diameter,key_item_display_height,key_item_display_length,key_item_display_length_uom,key_item_display_volume,key_item_display_volume_uom,key_item_display_weight,key_item_display_weight_uom,key_item_display_width,key_item_height,key_item_length,key_item_name,key_item_package_quantity,key_item_weight,key_item_width,key_language_code,key_manufacturer_name,key_manufacturer_sku,key_manufacturer_vendor_code,key_max_weight_recommendation,key_mfg_series_number,key_min_weight_recommendation,key_model_number,key_monthly_recurring_charge,key_number_of_items,key_number_of_licenses,key_number_of_pages,key_number_of_points,key_ordering_channel,key_preferred_vendor,key_product_sample_received_day,key_product_type,key_product_type_id,key_program_member,key_program_member_code,key_publication_date,key_publication_day,key_publication_month,key_publication_year,key_publisher,key_publisher_code,key_publisher_studio_label,key_recall_description,key_recall_external_identifier,key_recall_notice_expiration_date,key_recall_notice_publication_date,key_recall_notice_receive_date,key_target_gender,key_unit_count,key_upc,key_variation_theme_description,key_variation_theme_id,key_video_game_region,key_video_game_region_description,key_wireless_provider,key_wireless_provider_code,key_pkg_dimensional_uom,key_pkg_height,key_pkg_length,key_pkg_weight,key_pkg_weight_uom,key_pkg_width,key_release_date_embargo_level,key_dw_creation_date,key_dw_last_updated,key_is_deleted,key_last_updated,key_version,key_external_testing_certification,cand_Region Id,cand_MarketPlace Id,cand_ASIN,cand_Binding Code,cand_binding_description,cand_brand_code,cand_case_pack_quantity,cand_classification_code,cand_classification_description,cand_color_map,cand_country_of_origin,cand_cpsia_cautionary_statement,cand_creation_date,cand_currency_code,cand_customer_return_method,cand_customer_return_policy,cand_delivery_option,cand_discontinued_date,cand_ean,cand_esrb_age_rating,cand_esrb_descriptors,cand_excluded_direct_browse_node_id,cand_fedas_id,cand_fma_qualified_price_max,cand_fma_override,cand_Product Group Code,cand_Product Group Description,cand_has_ean,cand_has_online_play,cand_has_platform,cand_has_recommended_browse_nodes,cand_has_upc,cand_inner_package_type,cand_is_adult_product,cand_is_advantage,cand_is_certified_organic,cand_is_conveyable,cand_is_discontinued,cand_is_manufacture_on_demand,cand_is_phone_upgradeable,cand_Is Sortable,cand_is_super_saver_shipping_excl,cand_isbn,cand_item_classification_id,cand_item_display_diameter,cand_item_display_height,cand_item_display_length,cand_item_display_length_uom,cand_item_display_volume,cand_item_display_volume_uom,cand_item_display_weight,cand_item_display_weight_uom,cand_item_display_width,cand_item_height,cand_item_length,cand_item_name,cand_item_package_quantity,cand_item_weight,cand_item_width,cand_language_code,cand_manufacturer_name,cand_manufacturer_sku,cand_manufacturer_vendor_code,cand_max_weight_recommendation,cand_mfg_series_number,cand_min_weight_recommendation,cand_model_number,cand_monthly_recurring_charge,cand_number_of_items,cand_number_of_licenses,cand_number_of_pages,cand_number_of_points,cand_ordering_channel,cand_preferred_vendor,cand_product_sample_received_day,cand_product_type,cand_product_type_id,cand_program_member,cand_program_member_code,cand_publication_date,cand_publication_day,cand_publication_month,cand_publication_year,cand_publisher,cand_publisher_code,cand_publisher_studio_label,cand_recall_description,cand_recall_external_identifier,cand_recall_notice_expiration_date,cand_recall_notice_publication_date,cand_recall_notice_receive_date,cand_target_gender,cand_unit_count,cand_upc,cand_variation_theme_description,cand_variation_theme_id,cand_video_game_region,cand_video_game_region_description,cand_wireless_provider,cand_wireless_provider_code,cand_pkg_dimensional_uom,cand_pkg_height,cand_pkg_length,cand_pkg_weight,cand_pkg_weight_uom,cand_pkg_width,cand_release_date_embargo_level,cand_dw_creation_date,cand_dw_last_updated,cand_is_deleted,cand_last_updated,cand_version,cand_external_testing_certification
34016,0,1,1,B00YCZ6IKA,kitchen,Kitchen,NICLW,,base_product,Base Product,,,,27-May-15,USD,,,,,32281224516,,,,,111.96,,201,gl_home,Y,N,N,N,Y,,,N,,Y,N,N,,N,,,1,,,,,,,,,,1,86,Nickelodeon Teenage Mutant Ninja Turtles You Be The Character Twin Bed In A Bag Bedding Set,1,6,66,en_US,"Jay Franco and Sons, Inc.",,JAYJ9,,,,JF22451BBCD,,,,,,kitchen_ordering_channel,,,HOME,953,,,,,,,,JAYJ9,"Jay Franco and Sons, Inc.",,,,,,,,32281224516,,,,,,,inches,9.99999999,19.99999998,6.3,pounds,14.99999998,,28-May-15,30-Sep-17,N,29-Sep-17,272,,1,1,B00CEEU86G,home_improvement,Tools & Home Improvement,ROOA7,4,base_product,Base Product,,,choking_hazard_small_parts,17-Apr-13,USD,,,,,8.85E+11,,,166809011,,35.7,,60,gl_home_improvement,Y,N,N,Y,Y,,N,N,,Y,N,N,,N,,,1,,0.2,27.5,inches,,,1,pounds,36.8,0,40,Roommates Rmk2249Gm Teenage Mutant Ninja Turtles Leo Peel And Stick Giant Wall Decals,1,0.53,18,en_US,RoomMates,,YORA9,,,,RMK2249GM,,1,,,,home_improvement_ordering_channel,,15-Feb-14,BUILDING_MATERIAL,27713,,,,,,,,YORA9,RoomMates,,,,,,unisex,,8.85E+11,COLOR_NAME,8,,,,,inches,1.574803148,18.1102362,0.529104028,pounds,5.118110231,,18-Apr-13,14-Oct-17,N,13-Oct-17,2867,
3581,0,1,1,B00U25WT7A,office_product,Office Product,,,base_product,Base Product,,,,27-Feb-15,USD,,,,,7.85E+11,,,705348011,,15.71,,229,gl_office_product,Y,N,N,Y,Y,,,N,,Y,N,N,,Y,,,1,,,,,,,,,,2,2.5,"BLOCKIT RFID Protector Sleeves - Made in the USA & Recommended by Lifelock - (6 Pack) Credit Debit Card Protectors, Slim Cards Holders fit all Mens & Womens Wallets, Includes BONUS Security eBook",6,,0.1,en_US,Blockit Security Products LLC,,,,,,CARS6-TP,,,,,,,,,OFFICE_PRODUCTS,3523,,,,,,,,,Blockit Security Products LLC,,,,,,,,7.85E+11,COLOR,2,,,,,inches,0.2,4.799999995,0.022046001,pounds,3.999999996,,27-Feb-15,30-Jan-18,N,29-Jan-18,227,,1,1,B01FUA9HP8,office_product,Office Product,,,base_product,Base Product,,,,18-May-16,USD,,,,,6.14E+12,,,1069554,,19.41,,107,gl_wireless,Y,N,N,N,N,,,N,,Y,N,N,,Y,,,1,,,,,,,,,,0.3,6.75,"RFID Blocking Sleeves (10 Credit Card & 2 Passport Protectors) by 01 Digitals Secure Identity Theft Protection Travel Case Set. Smart Holders Fit Wallet, Purse & Cell Phones",1,0.110231131,4.5,en_US,01 Digitals,,,,,,01DRFIDBS,,,,,,,,,WIRELESS_ACCESSORY,3609,,,,,,,,,01 Digitals,,,,,,,,,,,,,,,inches,0.3,6.749999993,0.1,pounds,4.499999995,,19-May-16,21-Mar-18,N,20-Mar-18,65,
36025,1,1,1,B011BZ3GXU,consumer_electronics,Electronics,,,base_product,Base Product,"Black, Silver, Grey, Pink, Blue, Gold",,,10-Jul-15,USD,,,,,7.12E+11,,,,,43.37,,107,gl_wireless,Y,N,N,N,Y,,,N,,Y,N,N,,Y,,,1,,,,,,,,,,0.83,5.94,"Dual Output Portable Charger, Oripow Spark A6 19200mAh External Battery, Battery Pack for iPhone, iPad, Samsung, HTC, Nexus, More Phones, Tablets and 5V Digital Devices (Grey)",1,0.789375,2.24,en_US,Oripow,,,,,,22SK6A6,,,,,,,,,PHONE_ACCESSORY,648,,,,,,,,,Oripow,,,,,,,,7.12E+11,COLOR,2,,,,,inches,2.099999998,7.199999993,1.049999999,pounds,4.599999995,,11-Jul-15,24-Mar-17,N,23-Mar-17,61,,1,1,B0194WDVHI,consumer_electronics,Electronics,,,base_product,Base Product,Black,,,9-Dec-15,USD,,,,,8.48E+11,,,,,44.41,,107,gl_wireless,Y,N,N,Y,Y,,,N,,Y,N,N,,Y,,,1,,,,,,,,,,0.86614,2.3622,"Anker PowerCore 10000, One of the Smallest and Lightest 10000mAh External Batteries, Ultra-Compact, High-speed Charging Technology Power Bank for iPhone, Samsung Galaxy and More",1,0.396832072,3.62204,en_US,Anker,,,,,,A1263G12,,,,,,,,,CONSUMER_ELECTRONICS,3521,,,,,,,,,Anker,,,,,,,,8.48E+11,COLOR,2,,,,,inches,2.007874014,5.236220467,0.654772918,pounds,3.93700787,,10-Dec-15,16-Feb-18,N,15-Feb-18,1532,
42061,1,1,1,B0089XDG3I,pc,Personal Computers,,,base_product,Base Product,,,,8-Jun-12,USD,,,,,5.57E+12,,,,,648.63,,147,gl_pc,Y,N,N,N,N,,,N,,Y,N,N,,Y,,,1,,,,,,,,,,,,Optimus Popularis keyboard,1,,,en_US,Art.Lebedev Studio,,,,,,,,,,,,,,,KEYBOARDS,6468,,,,,,,,,Art.Lebedev Studio,,,,,,,,,,,,,,,,,,,,,,9-Jun-12,20-Apr-17,Y,19-Apr-17,41,,1,1,B009SJR28W,pc,Personal Computers,RAZC7,4,base_product,Base Product,,,no_warning_applicable,18-Oct-12,USD,,,in_store,,6.68E+11,rating_pending,,,,95.19,,147,gl_pc,Y,N,Y,Y,Y,,N,N,,Y,N,N,,N,,,1,,,,,,,3.6,pounds,,2.36,10.24,Razer DeathStalker Expert - Backlit Ergonomic Fully Programmable Membrane Black Gaming Keyboard - 10 Key Rollover,1,3.48,20.29,en_US,Razer Inc.,,RAZJ9,,,,RZ03-00800100-R3U1,,1,,,,pc_ordering_channel,,6-Feb-13,PERSONAL_COMPUTER,3525,,,,,,,,RAZJ9,Razer Inc.,,,,,,,,6.68E+11,,,,,,,inches,2.401574801,20.59055116,3.549442418,pounds,10.31496062,,19-Oct-12,15-Feb-18,N,14-Feb-18,13964,
14628,1,1,1,B014UTSBZW,miscellaneous,Misc.,ZUKC7,1,base_product,Base Product,,,no_warning_applicable,3-Sep-15,USD,,non_returnable,in_store,,6.13E+11,,,2975436011,,23.85,,199,gl_pet_products,Y,N,N,N,Y,,,N,,Y,N,N,,Y,,,1,,,6.7,millimeters,,,7,ounces,,9.33,2.75,"Zuke's Genuine Jerky Dog Treats, Beef and Carrot, 7-Ounce",1,0.438,7.5,en_US,Zuke's,,ZUKC7,,,,25065,,1,,,,kitchen_ordering_channel,,,PET_SUPPLIES,937,,,,,,,,ZUKC7,Zuke's,,,,,,,7,6.13E+11,,,,,,,inches,0.2,9.199999991,0.25,pounds,7.499999992,,4-Sep-15,10-Mar-18,N,9-Mar-18,1671,,1,1,B008OV929C,miscellaneous,Misc.,HILQ1,12,base_product,Base Product,,,,25-Jul-12,USD,,non_returnable,,,52742187617,,,,,14.73,,199,gl_pet_products,Y,N,N,Y,Y,,,N,,Y,N,N,,Y,,,1,,,,,,,7.1,ounces,,8.5,11.75,"Hill's Science Diet Beef Jerky Dog Treats, Jerky Strips Dog Snacks, Healthy Dog Treats, 7.1 oz Bag",1,,9.875,en_US,Hill's Pet Nutrition,,HILMJ,,,,1876,,1,,,,kitchen_ordering_channel,,15-Oct-12,PET_SUPPLIES,937,,,,,,,,HILMJ,Hill's Pet Nutrition,,,,,,,1,52742187617,,,,,,,inches,1.102362204,7.87401574,0.396832072,pounds,5.196850388,,26-Jul-12,9-Mar-18,N,9-Mar-18,1253,
12882,1,1,1,B01C5TFLSE,consumer_electronics,Electronics,SAMF9,,base_product,Base Product,,,no_warning_applicable,24-Feb-16,USD,,,,,6.53E+11,,,172659,,1496.73,,504,gl_home_entertainment,Y,N,N,N,Y,,,N,N,N,N,N,,N,,,1,,,,,,,,,,30.5,48.2,Samsung UN55KS8000 55-Inch 4K Ultra HD Smart LED TV (2016 Model),1,39.2,9.2,en_US,Samsung,,SAMF9,,,,UN55KS8000FXZA,,,,,,ce_ordering_channel,,,TELEVISION,659,,,,,,,,SAMF9,Samsung,,,,,,,1,6.53E+11,,,,,,,inches,6.499999993,51.59999995,51.19999996,pounds,31.49999997,,25-Feb-16,21-Mar-18,N,20-Mar-18,12014,Energy Star,1,1,B012E97GJC,consumer_electronics,Electronics,LGEAB,1,base_product,Base Product,,,no_warning_applicable,23-Jul-15,USD,,,,,7.19E+11,,,,,,,504,gl_home_entertainment,Y,N,N,N,Y,,,N,N,N,N,N,,N,,,1,,,,,,,,,,30.5,48.7,"LG Electronics 55"" LED TV (55SL5B-B)",1,46.52,11.5,en_US,LG,,ZENI9,,,,55SL5B-B,,,,,,ce_ordering_channel,,,TELEVISION,659,,,,,,,,ZENI9,LG,**Prohibited Pull** Products identified as restricted from sale on Amazon.,,,,,,,7.19E+11,,,,,,,inches,6.7,52.4,47.4,pounds,31.8,,25-Jul-15,12-Sep-17,N,12-Sep-17,3189,Energy Star
49055,0,1,1,B01HY1H9GK,consumer_electronics,Electronics,,,base_product,Base Product,,,,4-Jul-16,USD,,,,,6.92E+11,,,,,42.16,,107,gl_wireless,Y,N,N,N,Y,,,N,,Y,N,N,,Y,,,1,,,,,,,,,,1.97,4.72,Ideashop 42mm Watch Replacement Wristband Sandalwood Loop Bracelet Butterfly Lock Watch Band Strap For Apple Watch(Ebony Wood),2,0.04,0.39,en_US,Ideashop,,,,,,,,,,,,,,,PHONE_ACCESSORY,648,,,,,,,,,Ideashop,,,,,,,,6.92E+11,COLOR,2,,,,,,,,,,,,5-Jul-16,8-Aug-17,N,8-Aug-17,28,,1,1,B01IT2T2OK,consumer_electronics,Electronics,,,base_product,Base Product,Dark brown,,,21-Jul-16,USD,,,,,6.01E+11,,,553792,,25.87,,107,gl_wireless,Y,N,N,N,Y,,,N,,Y,N,N,,Y,,,1,,,,,,,,,,4,8.5,MacTop Watch Band for Apple Watch Series 2 and Series 3 - 42mm Replacement Band with Secure Metal Clasp Buckle .(Dark brown),1,,5,en_US,MacTop,,,,,,MT-1A03,,,,,,,,,PHONE_ACCESSORY,648,,,,,,,,,MacTop,,,,,,,,6.01E+11,COLOR,2,,,,,inches,0.3,8.599999991,0.022046001,pounds,2.199999998,,22-Jul-16,2-Mar-18,N,1-Mar-18,184,
29187,1,1,1,B00F3F0EIU,consumer_electronics,Electronics,GBKD9,6,base_product,Base Product,,,no_warning_applicable,10-Sep-13,USD,,,,,8.18E+11,,,,,246.79,,421,gl_camera,Y,N,Y,Y,Y,,N,N,,Y,N,N,,Y,,,1,,,,,,,,,,9.7,3.9,GoPro HERO3+: Silver Edition,1,1.4,3.9,en_US,GoPro Camera,,GBKD9,,,,CHDHN-302,,1,,,,ce_ordering_channel,,15-Oct-13,CAMCORDER,683,,,,,,,,GBKD9,GoPro Camera,,,,,,,,8.88E+11,STYLE_NAME,165,,,,,inches,3.799999996,9.99999999,1.798972058,pounds,3.999999996,,11-Sep-13,23-Feb-18,N,22-Feb-18,27381,,1,1,B00QX0ETTE,consumer_electronics,Electronics,,,base_product,Base Product,,,,12-Dec-14,USD,,,,,7.07E+11,,,,,20.4,,421,gl_camera,Y,N,N,N,Y,,,N,,Y,N,N,,Y,,,1,,,,,,,,,,1.2,7,"Luxebell Selfie Stick Telescopic Pole Pocket Purse Size with Phone Clip Holder for Gopro Hero 6 5, Session 5, Hero 4/3+/3/2 and Cellphone 6.6""-18.1"" (Black)",1,0.2125,1.2,en_US,Luxebell,,,,,,GM0004,,,,,,,,,CAMERA_OTHER_ACCESSORIES,692,,,,,,,,,Luxebell,,,,,,,,7.07E+11,COLOR,2,,,,,inches,1.732283463,12.51968503,0.352739619,pounds,1.81102362,,13-Dec-14,17-Nov-17,N,16-Nov-17,383,
40670,1,1,1,B01F7ZWY4M,kitchen,Kitchen,,,base_product,Base Product,,,,5-May-16,USD,no_return,,,,7.03E+11,,,,,21.1,,201,gl_home,Y,N,N,N,Y,,,N,,Y,N,N,,Y,,,1,,,,,,,,,,2,5,Apatite Rough Natural Stones 1 Lb (.5 Kg) Bulk Reiki Chakra Healing Crystals Mineral Gemstone Specimens (Apatite),,1,4,en_US,Blue Water Crystals,,,,,,Rough Natural,,,,,,,,,HOME,953,,,,,,,,,Blue Water Crystals,,,,,,,,7.03E+11,COLOR_NAME,8,,,,,inches,2.677165352,6.377952749,1.410958477,pounds,6.377952749,,6-May-16,26-Aug-17,N,25-Aug-17,31,,1,1,B01HVTA4TE,kitchen,Kitchen,,,base_product,Base Product,,,,2-Jul-16,USD,,,,,6.02E+11,,,,,26.69,,201,gl_home,Y,N,N,N,Y,,,N,,Y,N,N,,Y,,,1,,,,,,,4,ounces,,,,20 (TWENTY) AAA Grade CHARGED 500 - 650cts BABY PEACOCK ORE Chalcopyrite Crystals Healing Energy by ZENERGY GEMS,20,,,en_US,ZenergyGems&#8482;,,,,,,20 Pieces Baby Peacock Ore,,,,,,,,,HOME,953,,,,,,,,,ZenergyGems&#8482;,,,,,,,,6.02E+11,,,,,,,inches,1.692913384,5.393700782,0.399036694,pounds,4.015748027,,3-Jul-16,18-Oct-17,N,17-Oct-17,57,
8364,0,1,1,B019HM5VBE,office_product,Office Product,PLAOK,1,base_product,Base Product,,,,17-Dec-15,USD,,,,,7.44E+11,,,,,29.76,,229,gl_office_product,Y,N,N,N,Y,,,N,,Y,N,N,,Y,N,,1,,,,,,,,,,1,7.375,"PlanAhead Plan Ahead Agenda Book, Undated, 6.9 x 7.375"", Assorted Colors, color May Vary, 1 Book (72581)",1,0.5,6.9,en_US,PlanAhead,,PLAIY,,,,72581,,1,,,,office_product_ordering_channel,,,OFFICE_PRODUCTS,3523,,,1-Dec-15,1,12,2015,,PLAIY,PlanAhead,,,,,,,,7.44E+11,,,,,,,inches,0.799999999,7.399999992,0.55,pounds,6.999999993,,18-Dec-15,26-May-17,N,26-May-17,61,,1,1,B002Q4UMGA,office_product,Office Product,MEADH,1,base_product,Base Product,,,,23-Sep-09,USD,,,,,89138963777,,,,,18.7,,229,gl_office_product,Y,N,N,N,Y,,,N,,Y,N,N,,Y,N,,1,,,,,,,,,,6.5,8.625,"Mead Pinstripe Weekly Wirebound Planner,  5-1/2 x 8-1/2 Inches, Undated (599-12099)",1,0.7,0.75,en_US,MeadWestvaco Consumer & Office Products,,ACCD9,,,,599-12099,,1,,,,office_product_ordering_channel,,18-Nov-09,OFFICE_PRODUCTS,3523,,,1-Sep-09,1,9,2009,,ACCD9,MeadWestvaco Consumer & Office Products,,,,,,,1,89138963777,,,,,,,inches,0.699999999,8.499999991,0.75,pounds,5.499999994,,4-Jan-11,10-Mar-18,N,9-Mar-18,1430,
